Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
EP,Pesticides,102,Iran (Islamic Republic of),5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.27,Fc,Calculated data,,
EP,Pesticides,103,Iraq,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.41,Fc,Calculated data,,
EP,Pesticides,104,Ireland,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.78,Fc,Calculated data,,
EP,Pesticides,105,Israel,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,15.45,Fc,Calculated data,,
EP,Pesticides,106,Italy,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,6.66,Fc,Calculated data,,
EP,Pesticides,109,Jamaica,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.9,Fc,Calculated data,,
EP,Pesticides,110,Japan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,11.41,Fc,Calculated data,,
EP,Pesticides,112,Jordan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.15,Fc,Calculated data,,
EP,Pesticides,108,Kazakhstan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.36,Fc,Calculated data,,
EP,Pesticides,114,Kenya,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.25,Fc,Calculated data,,
EP,Pesticides,118,Kuwait,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.29,Fc,Calculated data,,
EP,Pesticides,113,Kyrgyzstan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.39,Fc,Calculated data,,
EP,Pesticides,120,Lao People's Democratic Republic,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0,Fc,Calculated data,,
EP,Pesticides,119,Latvia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.33,Fc,Calculated data,,
EP,Pesticides,121,Lebanon,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,7.04,Fc,Calculated data,,
EP,Pesticides,122,Lesotho,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.17,Fc,Calculated data,,
EP,Pesticides,124,Libya,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.73,Fc,Calculated data,,
EP,Pesticides,126,Lithuania,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.53,Fc,Calculated data,,
EP,Pesticides,129,Madagascar,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.12,Fc,Calculated data,,
EP,Pesticides,130,Malawi,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.6,Fc,Calculated data,,
EP,Pesticides,131,Malaysia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.9,Fc,Calculated data,,
EP,Pesticides,132,Maldives,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,52.65,Fc,Calculated data,,
EP,Pesticides,133,Mali,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0,Fc,Calculated data,,
EP,Pesticides,134,Malta,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,12.04,Fc,Calculated data,,
EP,Pesticides,136,Mauritania,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.06,Fc,Calculated data,,
EP,Pesticides,137,Mauritius,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,9.89,Fc,Calculated data,,
EP,Pesticides,138,Mexico,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.87,Fc,Calculated data,,
EP,Pesticides,273,Montenegro,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,6.43,Fc,Calculated data,,
EP,Pesticides,143,Morocco,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.43,Fc,Calculated data,,
EP,Pesticides,144,Mozambique,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.13,Fc,Calculated data,,
EP,Pesticides,28,Myanmar,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.97,Fc,Calculated data,,
EP,Pesticides,147,Namibia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.07,Fc,Calculated data,,
EP,Pesticides,149,Nepal,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.25,Fc,Calculated data,,
EP,Pesticides,150,Netherlands,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,9.38,Fc,Calculated data,,
EP,Pesticides,153,New Caledonia,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.47,Fc,Calculated data,,
EP,Pesticides,156,New Zealand,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,7.89,Fc,Calculated data,,
EP,Pesticides,157,Nicaragua,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.47,Fc,Calculated data,,
EP,Pesticides,158,Niger,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0,Fc,Calculated data,,
EP,Pesticides,162,Norway,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.84,Fc,Calculated data,,
EP,Pesticides,299,Occupied Palestinian Territory,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,9.2,Fc,Calculated data,,
EP,Pesticides,221,Oman,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,4.1,Fc,Calculated data,,
EP,Pesticides,165,Pakistan,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0,Fc,Calculated data,,
EP,Pesticides,166,Panama,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,3.31,Fc,Calculated data,,
EP,Pesticides,168,Papua New Guinea,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,0.11,Fc,Calculated data,,
EP,Pesticides,169,Paraguay,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.57,Fc,Calculated data,,
EP,Pesticides,170,Peru,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.33,Fc,Calculated data,,
EP,Pesticides,173,Poland,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,2.18,Fc,Calculated data,,
EP,Pesticides,174,Portugal,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,5.63,Fc,Calculated data,,
EP,Pesticides,179,Qatar,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,4,Fc,Calculated data,,
EP,Pesticides,117,Republic of Korea,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,12.04,Fc,Calculated data,,
EP,Pesticides,146,Republic of Moldova,5159,Use per area of cropland,1357,Pesticides (total),2016,2016,kg/ha,1.75,Fc,Calculated data,,
